Mentors,Students,Second
Mentor1,Student18,
Mentor2,Student86,
Mentor3,Student45,
Mentor4,Student10,
Mentor5,Student19,Student80
Mentor6,Student49,
Mentor7,Student14,
Mentor8,Student92,
Mentor9,Student84,
Mentor10,Student75,
Mentor11,Student65,
Mentor12,Student51,
Mentor13,Student16,
Mentor14,Student42,
Mentor15,Student43,
Mentor16,Student8,
Mentor17,Student91,
Mentor18,Student35,
Mentor19,Student34,
Mentor20,Student68,
Mentor21,Student52,
Mentor22,Student15,Student50
Mentor23,Student73,
Mentor24,Student59,
Mentor25,Student25,
Mentor26,Student13,
Mentor27,Student31,
Mentor28,Student57,
Mentor29,Student87,
Mentor30,Student26,
Mentor31,Student37,
Mentor32,Student53,
Mentor33,Student88,
Mentor34,Student69,
Mentor35,Student62,
Mentor36,Student63,
Mentor37,Student55,
Mentor38,Student79,
Mentor39,Student58,
Mentor40,Student38,
Mentor41,Student67,
Mentor42,Student47,
Mentor43,Student5,
Mentor44,Student29,
