Name,Gender,University,Department,Class,Which of the following topic(s) would you be most interested in reading about? [Set Theory/Model Theory],Which of the following topic(s) would you be most interested in reading about? [Category Theory],Which of the following topic(s) would you be most interested in reading about? [Real Analysis/Functional Analysis],Which of the following topic(s) would you be most interested in reading about? [Complex Analysis],Which of the following topic(s) would you be most interested in reading about? [Harmonic Analysis],Which of the following topic(s) would you be most interested in reading about? [Partial Differential Equations],Which of the following topic(s) would you be most interested in reading about? [Numerical Analysis],Which of the following topic(s) would you be most interested in reading about? [Group Theory],Which of the following topic(s) would you be most interested in reading about? [Representation Theory],Which of the following topic(s) would you be most interested in reading about? [Rings and Algebra],Which of the following topic(s) would you be most interested in reading about? [Algebraic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Analytic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Combinatorics],Which of the following topic(s) would you be most interested in reading about? [Graph Theory],Which of the following topic(s) would you be most interested in reading about? [Algebraic Geometry],Which of the following topic(s) would you be most interested in reading about? [Differential Geometry],Which of the following topic(s) would you be most interested in reading about? [General Topology],Which of the following topic(s) would you be most interested in reading about? [Algebraic Topology],Which of the following topic(s) would you be most interested in reading about? [Geometric Topology],Which of the following topic(s) would you be most interested in reading about? [Probability Theory],Which of the following topic(s) would you be most interested in reading about? [Statistics],Which of the following topic(s) would you be most interested in reading about? [Computer Algebra],Which of the following topic(s) would you be most interested in reading about? [Data Science],Which of the following topic(s) would you be most interested in reading about? [Cryptography/Coding theory],Which of the following topic(s) would you be most interested in reading about? [Mathematical Modeling],Which of the following topic(s) would you be most interested in reading about? [Classical Mechanics],Which of the following topic(s) would you be most interested in reading about? [Complex Systems/Dynamical Systems],Which of the following topic(s) would you be most interested in reading about? [Quantum Theory],Which of the following topic(s) would you be most interested in reading about? [Relativity and Quantum Relativistic Theories],Which of the following topic(s) would you be most interested in reading about? [Statistical Mechanics]
Student1,Male,Bilkent University,math,1,Second Choice,,,,,,,,,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,
Student2,Male,Middle East Technical University,Mathematics,3,First Choice,,Second Choice,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student3,Male,Middle East Technical University,Mathematics,4,Second Choice,,,First Choice,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student4,Male,Boğaziçi üniversitesi,Matematik,1,,,,,,,,Second Choice,,First Choice,,,,,,,,,,,,,,,,,,,,
Student5,Male,Middle East Technical University (METU),Mathematics,4,,,,,,,,Second Choice,,,,,,First Choice,,,,Third Choice,,,,,,,,,,,,
Student6,Female,Boğaziçi University,Mathematics ,1,,,,,,,,,,,,,,,,,,,,,,First Choice,,Third Choice,Second Choice,,,,,
Student7,Male,Bogazici University,Mathematics,2,First Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,
Student8,Male,Istanbul Bilgi University ,Mathematics ,3,,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,,Third Choice,Second Choice,
Student9,Male,Boğaziçi University,Physics & Mathematics ,2,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,First Choice,Second Choice,,,
Student10,Female,Boğaziçi University,Mathematics,4,,,,,,,,,,,,,,,,Second Choice,Third Choice,,First Choice,,,,,,,,,,,
Student11,Male,Boğaziçi Üniversitesi,Mathematics,3,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student12,Female,Hacettepe University,Mathematics,1,,,,,,,,Third Choice,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,,
Student13,Male,Gebze Teknik Üniversitesi,Math,4,,,,,,,,,,,,,,,,First Choice,Third Choice,,Second Choice,,,,,,,,,,,
Student14,Male,Middle East Technical University (METU),Mathematics,4,,,,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,Third Choice,,,,,,
Student15,Male,Bilgi Universitesi,Matematik,4,,,,,,,,,,,,,,,,,,,"First Choice, Second Choice, Third Choice",,,,,,,,,,,
Student16,Male,Gebze Technical University,Mathematic,4,,,Second Choice,First Choice,,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,
Student17,Male,Koç University,Mathematics,1,,,First Choice,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,
Student18,Male,Boğaziçi üniversitesi,Mathematics,4,,,Third Choice,,Second Choice,First Choice,,,,,,,,,,,,,,,,,,,,,,,,
Student19,Female,Bogazici University,Computer Engineering,3,,,,,,,,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,Second Choice,
Student20,Female,İTÜ ETA Vakfı Çayyolu Doğa Koleji Fen ve Teknoloji Lisesi,Fen ve Teknoloji Lisesi,2,,,,,,,,Second Choice,First Choice,,,,,,,,,,,,,,,Third Choice,,,,,,
Student21,Male,Mimar Sinan Güzel Sanatlar Üniversitesi,Matematik,1,,,First Choice,,,,,Second Choice,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student22,Female,Middle East Technical University,Mathematics,2,,,,,,,,Third Choice,,,,,First Choice,Second Choice,,,,,,,,,,,,,,,,
Student23,Male,Vefa Lisesi,*,1,,,Third Choice,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,,,,,,,
Student24,Female,Bilkent University,Physics,1,,,,,,,,Third Choice,,,,,,,,,Second Choice,,,,,,,,,,,,,First Choice
Student25,Male,Boğaziçi University,Mathematics,3,,Third Choice,,,,,,,,,First Choice,,,,Second Choice,,,,,,,,,,,,,,,
Student26,Female,Boğaziçi University,Physics,4,,,,,,,,,,,,,,,,,,,First Choice,,,,,,,,,Third Choice,Second Choice,
Student27,Prefer not to respond,Orta Doğu Teknik Üniversitesi,Matematik,4,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,,,First Choice,Second Choice,
Student28,Female,Bilgi University,Mathematics,3,,,,,,,,,Second Choice,,,,,,,,,First Choice,Third Choice,,,,,,,,,,,
Student29,Male,Bogazici University,Computer Engineering and Mathematics (Double Major),5+,,,,,,,Third Choice,,,,,,,,,,,,,Second Choice,,,First Choice,,,,,,,
Student30,Female,Galatasaray University,Math,4,,,,,,,,,,,,,,,First Choice,,,Second Choice,Third Choice,,,,,,,,,,,
