Name,Gender,University,Department,Class,Reference,Which of the following topic(s) would you be most interested in reading about? [Set Theory/Model Theory],Which of the following topic(s) would you be most interested in reading about? [Category Theory],Which of the following topic(s) would you be most interested in reading about? [Real Analysis/Functional Analysis],Which of the following topic(s) would you be most interested in reading about? [Complex Analysis],Which of the following topic(s) would you be most interested in reading about? [Harmonic Analysis],Which of the following topic(s) would you be most interested in reading about? [Partial Differential Equations],Which of the following topic(s) would you be most interested in reading about? [Numerical Analysis],Which of the following topic(s) would you be most interested in reading about? [Group Theory],Which of the following topic(s) would you be most interested in reading about? [Representation Theory],Which of the following topic(s) would you be most interested in reading about? [Rings and Algebra],Which of the following topic(s) would you be most interested in reading about? [Algebraic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Analytic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Combinatorics],Which of the following topic(s) would you be most interested in reading about? [Graph Theory],Which of the following topic(s) would you be most interested in reading about? [Algebraic Geometry],Which of the following topic(s) would you be most interested in reading about? [Differential Geometry],Which of the following topic(s) would you be most interested in reading about? [General Topology],Which of the following topic(s) would you be most interested in reading about? [Algebraic Topology],Which of the following topic(s) would you be most interested in reading about? [Geometric Topology],Which of the following topic(s) would you be most interested in reading about? [Probability Theory],Which of the following topic(s) would you be most interested in reading about? [Statistics],Which of the following topic(s) would you be most interested in reading about? [Computer Algebra],Which of the following topic(s) would you be most interested in reading about? [Data Science],Which of the following topic(s) would you be most interested in reading about? [Cryptography/Coding theory],Which of the following topic(s) would you be most interested in reading about? [Mathematical Modeling],Which of the following topic(s) would you be most interested in reading about? [Classical Mechanics],Which of the following topic(s) would you be most interested in reading about? [Complex Systems/Dynamical Systems],Which of the following topic(s) would you be most interested in reading about? [Quantum Theory],Which of the following topic(s) would you be most interested in reading about? [Relativity and Quantum Relativistic Theories],Which of the following topic(s) would you be most interested in reading about? [Statistical Mechanics]
Student1,Male,Bilkent,Mathematics,1,12,Second Choice,,,,,,,,,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,
Student2,Male,ODTU,Mathematics,3,12,First Choice,,Second Choice,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student3,Male,ODTU,Mathematics,4,11,Second Choice,,,First Choice,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student4,Male,Bogazici,Mathematics,1,12,,,,,,,,Second Choice,,First Choice,,,,,,,,,,,,,,,,,,,,
Student5,Male,ODTU,Mathematics,4,12,,,,,,,,Second Choice,,,,,,First Choice,,,,Third Choice,,,,,,,,,,,,
Student6,Female,Bogazici,Mathematics,1,12,,,,,,,,,,,,,,,,,,,,,,First Choice,,Third Choice,Second Choice,,,,,
Student7,Male,Bogazici,Mathematics,2,12,First Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,
Student8,Male,Bilgi,Mathematics,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,,Third Choice,Second Choice,
Student9,Male,Bogazici,Physics & Mathematics ,2,8,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,First Choice,Second Choice,,,
Student10,Female,Bogazici,Mathematics,4,9,"
",,,,,,,,,,,,,,,Second Choice,Third Choice,,First Choice,,,,,,,,,,,
Student11,Male,Bogazici,Mathematics,3,6,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student12,Female,Hacettepe,Mathematics,1,0,,,,,,,,Third Choice,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,,
Student13,Male,GTU,Mathematics,4,10,,,,,,,,,,,,,,,,First Choice,Third Choice,,Second Choice,,,,,,,,,,,
Student14,Male,ODTU,Mathematics,4,12,,,,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,Third Choice,,,,,,
